Province/Region,Service Area,Matched Region (CN),分类,month,hour,TOU_raw,TOU_final,hourly_price_abs,price_basis_note
Hebei,Cangzhou Service Area,河北,/,2,21,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,22,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,23,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,0,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,1,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,2,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,3,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,4,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,5,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,6,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,7,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,8,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,9,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,10,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,11,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,12,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,13,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,14,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,15,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,16,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,17,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,18,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,19,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,20,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,21,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,22,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,3,23,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,0,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,1,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,2,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,3,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,4,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,5,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,6,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,7,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,8,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,9,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,10,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,11,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,12,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,13,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,14,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,15,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,16,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,17,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,18,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,19,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,20,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,21,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,22,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,4,23,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,0,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,1,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,2,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,3,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,4,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,5,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,6,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,7,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,8,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,9,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,10,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,11,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,12,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,13,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,14,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,15,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,16,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,17,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,18,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,19,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,20,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,21,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,22,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,5,23,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,0,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,1,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,2,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,3,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,4,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,5,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,6,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,7,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,8,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,9,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,10,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,11,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,12,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,13,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,14,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,15,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,16,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,17,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,18,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,19,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,20,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,21,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,22,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,6,23,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,0,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,1,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,2,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,3,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,4,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,5,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,6,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,7,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,8,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,9,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,10,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,11,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,12,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,13,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,14,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,15,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,16,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,17,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,18,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,19,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,20,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,21,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,22,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,7,23,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,0,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,1,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,2,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,3,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,4,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,5,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,6,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,7,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,8,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,9,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,10,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,11,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,12,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,13,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,14,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,15,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,16,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,17,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,18,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,19,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,20,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,21,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,22,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,8,23,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,0,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,1,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,2,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,3,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,4,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,5,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,6,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,7,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,8,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,9,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,10,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,11,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,12,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,13,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,14,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,15,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,16,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,17,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,18,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,19,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,20,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,21,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,22,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,9,23,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,0,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,1,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,2,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,3,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,4,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,5,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,6,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,7,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,8,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,9,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,10,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,11,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,12,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,13,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,14,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,15,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,16,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,17,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,18,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,19,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,20,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,21,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,22,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,10,23,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,0,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,1,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,2,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,3,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,4,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,5,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,6,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,7,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,8,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,9,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,10,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,11,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,12,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,13,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,14,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,15,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,16,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,17,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,18,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,19,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,20,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,21,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,22,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,11,23,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,12,0,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,12,1,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,12,2,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,12,3,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,12,4,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,12,5,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,12,6,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,12,7,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,12,8,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,12,9,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,12,10,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,12,11,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,12,12,平,平,1.0,normalized_by_flat_price_equal_1
